work_id,period_bin,year,title,sources,volumes,n_rows,n_junk,n_explanatory,n_divine_teleology,n_non_divine_teleology,n_internal_essence,below_min_explanatory
49233,1870_1889,1874,"The elements of Embryology, &c. Pt. 1",BHL,1,528,473,55,0,15,40,0
54063,1870_1889,1874,Birds of the Northwest: a hand-book of the ornithology of the region drained by the Missouri River and its tributaries,BHL,1,1200,1148,52,0,40,12,0
54341,1870_1889,1874,The descent of man : and selection in relation to sex,BHL,1,1200,1013,187,0,154,33,0
54596,1870_1889,1874,Evolution and origin of life,BHL,1,163,161,2,0,0,2,1
56211,1870_1889,1874,The life and habits of wild animals,BHL,1,291,258,33,2,31,0,0
56784,1870_1889,1874,Anatomy of the invertebrata,BHL,1,1200,875,325,0,177,148,0
57077,1870_1889,1874,"Field ornithology. Comprising a manual of instruction for procuring, preparing and preserving birds, and a check list of North American birds",BHL,1,778,759,19,0,18,1,1
57841,1870_1889,1874,What is Darwinism?,BHL,1,222,203,19,6,9,4,1
1111,1870_1889,1874,Outlines of comparative anatomy and medical zoology,BHL,1,819,552,267,0,93,174,0
1390,1870_1889,1874,The naturalist in Nicaragua: A narrative of a residence at the gold mines of Chontales; journeys in the savannahs and forests. With observations on animals and plants in reference to the theory of evo,BHL,1,612,513,99,0,97,2,0
96956,1870_1889,1874,"The Malay Archipelago, the land of the orang-utan and the bird of paradise : a narrative of travel, with studies of man and nature",BHL,1,1200,1135,65,0,56,9,0
100403,1870_1889,1874,A monograph on the British fossil reptilia of the Mesozoic formations,BHL,1,6,4,2,0,0,2,1
102793,1870_1889,1874,A monograph on the British fossil reptilia of the Mesozoic formations,BHL,1,362,315,47,0,29,18,0
2151,1870_1889,1874,The elements of embryology,BHL,1,565,513,52,0,13,39,0
13870,1870_1889,1874,"Prodromus of the palaeontology of Victoria : or, Figures and descriptions of Victorian organic remains",BHL,6,453,400,53,0,4,49,0
14077,1870_1889,1874,"Thesaurus entomologicus Oxoniensis : or, Illustrations of new, rare, and interesting insects, for the most part contained in the collections presented to the University of Oxford by the Rev. F.W. Hope",BHL,1,827,762,65,0,9,56,0
15206,1870_1889,1874,The mammals of India; a natural history of all the animals known to inhabit continental India,BHL,1,1200,1053,147,0,75,72,0
15243,1870_1889,1874,"The depths of the sea; an account of the general results of the  dredging cruises of H.M. SS. 'Porcupine' and 'Lightning' during the summers of 1868, 1869 and 1870, under the scientific direction of D",BHL,1,696,656,40,0,23,17,0
15769,1870_1889,1874,On the structure and development of the skull in the mammalia,BHL,1,1200,1062,138,0,50,88,0
47043,1870_1889,1875,On the batrachia and reptilia of Costa Rica : With notes on the herpetology and ichthyology of Nicaragua and Peru,BHL,1,517,486,31,0,2,29,0
49740,1870_1889,1875,"A history of the birds of Europe, not observed in the British Isles",BHL,5,3930,3752,178,5,62,111,0
54811,1870_1889,1875,History of the early settlement of Bowmanville and vicinity,BHL,1,139,131,8,0,7,1,1
13320,1870_1889,1875,The birds and seasons of New England,BHL,1,1072,942,130,6,119,5,0
56240,1870_1889,1875,"Natural history of animals. Containing brief descriptions of the animals figured on Tenney's Natural history tablets, but complete without the tablets",BHL,1,916,735,181,1,133,47,0
57800,1870_1889,1875,Outlines of a natural arrangement of the Falconidae,BHL,1,25,21,4,0,0,4,1
67706,1870_1889,1875,Notes on entomology: a syllabus of a course of lectures delivered at the Cornell University ...,BHL,1,304,211,93,0,57,36,0
1749,1870_1889,1875,Elements of zoölogy : a textbook,BHL,1,1200,752,448,4,227,217,0
99932,1870_1889,1875,Log-book of a fisherman and zoologist,BHL,1,1082,1020,62,1,59,2,0
119404,1870_1889,1875,A natural history of the nests and eggs of British birds,BHL,1,329,324,5,0,5,0,1
120102,1870_1889,1875,"St. Helena : a physical, historical, and topographical description of the island, including it geology, fauna, flora and meteorology",BHL,1,946,909,37,0,30,7,0
6247,1870_1889,1875,The marine invertebrates and fishes of St. Andrews,BHL,1,553,539,14,0,13,1,1
13966,1870_1889,1875,Figures of characteristic British fossils: with descriptive remarks,BHL,1,592,569,23,0,2,21,1
14580,1870_1889,1875,The ornithology of the Straits of Gibraltar,BHL,1,948,913,35,0,17,18,0
14945,1870_1889,1875,"Dawn of life: being the history of the oldest known fossil remains, and their relation to geological time and to the development of the animal kingdom",BHL,1,337,306,31,0,18,13,0
16131,1870_1889,1875,"Morgan expeditions, 1870-'71 ... : on the Devonian trilobites and mollusks of Ereré, province of Pará, Brazil",BHL,1,71,68,3,0,0,3,1
9077,1870_1889,1876,Palæontology. Fossil corals,BHL,1,548,520,28,0,4,24,1
62705,1870_1889,1876,"The fishes of India; being a natural history of the fishes known to inhabit the seas and fresh waters of India, Burma, and Ceylon",BHL,1,1200,1146,54,0,9,45,0
11115,1870_1889,1876,Animal parasites and messmates,BHL,1,885,622,263,3,240,20,0
1731,1870_1889,1876,First book of zoölogy,BHL,1,435,308,127,0,80,47,0
100631,1870_1889,1876,The geographical distribution of animals : with a study of the relations of living and extinct faunas as elucidating the past changes of the earth's surface,BHL,1,1200,1142,58,0,38,20,0
115744,1870_1889,1876,The geographical distribution of animals : with a study of the relations of living and extinct faunas as elucidating the past changes of the earth's surface,BHL,2,2400,2239,161,0,82,79,0
116595,1870_1889,1876,The sea and its living wonders : a popular account of the marvels of the deep and of the progress of maritime discovery from the earliest ages to the present time,BHL,1,1200,898,302,5,266,31,0
153262,1870_1889,1876,"Ornithology of Guadeloupe Island, based on notes and collections made by Dr. Edward Palmer",BHL,1,87,83,4,0,4,0,1
14959,1870_1889,1876,Mesozoic fossils,BHL,1,1200,1164,36,0,1,35,0
37840,1870_1889,1876,Description of a new genus and species of Decapod Crustacean,BHL,1,6,5,1,0,1,0,1
37841,1870_1889,1876,Description of seventeen new species of Crustacea,BHL,1,22,21,1,0,0,1,1
11354,1870_1889,1876,The geographical distribution of animals. With a study of the relations of living and extinct faunas as elucidating the past changes of the earth's surface,BHL,2,2400,2249,151,0,76,75,0
42514,1870_1889,1876,The geographical distribution of animals : with a study of the relations of living and extinct faunas as elucidating the past changes of the earth's surface,BHL,2,2400,2230,170,0,84,86,0
45871,1870_1889,1876,"The history of creation, or, The development of the earth and its inhabitants by the action of natural causes : doctrine of evolution in general, and of that of Darwin, Goethe, and Lamarck in particul",BHL,2,1718,1278,440,13,119,308,0
51877,1870_1889,1877,Economic entomology,BHL,1,1200,1026,174,0,118,56,0
53623,1870_1889,1877,Ornithological notes,BHL,1,1200,1012,188,0,75,113,0
54042,1870_1889,1877,By stream and sea. A book for wanderers and anglers,BHL,1,526,516,10,2,8,0,1
55254,1870_1889,1877,The doctrine of descent and Darwinism,BHL,1,710,555,155,6,51,98,0
55384,1870_1889,1877,"Evenings at the microscope : or, Researches among the minuter organs and forms of animal life",BHL,1,993,743,250,17,175,58,0
56148,1870_1889,1877,A manual of zoology for the use of students : with a general introduction on the principles of zoology,BHL,1,1200,633,567,0,261,306,0
77375,1870_1889,1877,Researches on the fossil remains of the extinct mammals of Australia : with a notice of the extinct marsupials of England,BHL,2,1221,1039,182,0,100,82,0
113210,1870_1889,1877,"Nomenclature in zoology and botany : a report to the American Association for the Advancement of Science at the Nashville meeting, August 31, 1877",BHL,1,137,137,0,0,0,0,1
13629,1870_1889,1877,Part I. Palæontology,BHL,1,1200,1162,38,0,13,25,0
13890,1870_1889,1877,The ancient life-history of the earth : a comprehensive outline of the principles and leading facts of palæontological science,BHL,1,1200,974,226,0,86,140,0
15100,1870_1889,1877,"Introduction and succession of vertebrate life in America : An address delivered before the American Association for the Advancement of Science, at Nashville, Tenn., Aug. 30, 1877",BHL,1,257,229,28,0,4,24,1
42857,1870_1889,1877,The development of the animal kingdom : a paper read at the fourth meeting of the Association for the Advancement of Woman,BHL,1,65,49,16,1,1,14,1
46640,1870_1889,1878,Monograph on the Lias Ammonites of the British islands,BHL,2,1294,1163,131,0,16,115,0
48665,1870_1889,1878,Anatomy of the Indian elephant,BHL,1,208,185,23,0,17,6,1
49460,1870_1889,1878,Elements of Comparative Anatomy,BHL,1,1200,775,425,0,212,213,0
50434,1870_1889,1878,"Anatomical and zoological researches: comprising an account of the zoological results of the two expeditions to western Yunnan in 1868 and 1875; and a monograph of the two cetacean genera, Platanista ",BHL,3,2502,2397,105,0,20,85,0
53804,1870_1889,1878,"Notes on Cladocera. Read December, 1877; printed with additions, November, 1878",BHL,1,995,958,37,0,12,25,0
54571,1870_1889,1878,"The bee and white ants, their manners and habits; with illustrations of animal instinct and intelligence",BHL,1,914,727,187,13,152,22,0
54737,1870_1889,1878,Birds of the Colorado valley ... scientific and popular information concerning North American ornithology,BHL,1,1200,1154,46,0,27,19,0
54749,1870_1889,1878,Descriptions of the first plumage in various species of North American birds,BHL,1,242,240,2,0,0,2,1
7986,1870_1889,1878,"American ornithology, or, The natural history of the birds of the United States : illustrated with plates engraved from drawings from nature",BHL,2,2400,2166,234,9,165,60,0
102765,1870_1889,1878,A manual of zoology for the use of students : with a general introduction on the principles of zoology,BHL,1,1200,682,518,0,239,279,0
2158,1870_1889,1878,Elements of comparative anatomy,BHL,1,1200,769,431,0,204,227,0
106950,1870_1889,1878,Elements of comparative anatomy,BHL,1,1200,758,442,0,198,244,0
116046,1870_1889,1878,An introduction to the systematic zoology and morphology of vertebrate animals,BHL,1,1200,793,407,0,68,339,0
118572,1870_1889,1878,The poisonous snakes of India : for the use of the officials and others residing in the Indian Empire,BHL,1,192,184,8,0,6,2,1
168314,1870_1889,1878,Scientific results of the Second Yarkand Mission : based upon the collections and notes of the late Ferdinand Stoliczka,BHL,3,1253,1226,27,0,1,26,1
153295,1870_1889,1878,"Scientific results of the Second Yarkand Mission : based upon the collections and notes of the late Ferdinand Stoliczka, Ph. D. 7, Ichthyology / by Francis Day",BHL,1,132,124,8,0,6,2,1
15086,1870_1889,1878,Johannes Müller on certain variations in the vocal organs of the Passeres that have hitherto escaped notice,BHL,1,212,164,48,0,5,43,0
16124,1870_1889,1878,"The Devonian Brachiopoda of the province of Pará, Brazil",BHL,1,147,144,3,0,0,3,1
49321,1870_1889,1879,Darwinism and other essays,BHL,1,183,170,13,0,6,7,1
54469,1870_1889,1879,Zoology : for students and general readers,BHL,1,1200,726,474,2,186,286,0
55214,1870_1889,1879,"On the structure and affinities of the ""tabulate corals"" of the Palaeozoic period. With critical descriptions of illustrative species, by H. Alleyne Nicholson",BHL,1,506,450,56,0,1,55,0
57530,1870_1889,1879,Fresh-water rhizopods of North America,BHL,1,1200,1119,81,0,26,55,0
57740,1870_1889,1879,The evolution of man: a popular exposition of the principal points of human ontogeny and phylogeny,BHL,1,1200,785,415,1,82,332,0
60409,1870_1889,1879,"History and methods of paleontological discovery. An address, delivered before the American Association for the Advancement of Science, at Saratoga, N. Y., August 28, 1879",BHL,1,151,150,1,0,0,1,1
1187,1870_1889,1879,Our own birds; a familiar natural history of the birds of the United States,BHL,2,1265,1095,170,13,155,2,0
1891,1870_1889,1879,Animal mechanism: a treatise on terrestrial and aerial locomotion,BHL,1,686,568,118,0,111,7,0
100728,1870_1889,1879,Parasites a treatise on the entozoa of man and animals including some account of the ectozoa,BHL,1,1200,1123,77,0,52,25,0
101478,1870_1889,1879,The microscopic organisms found in the blood of man and animals and their relation to disease,BHL,1,315,315,0,0,0,0,1
103293,1870_1889,1879,"Parasites : a treatise on the entozoa of man and animals, including some account of the ectozoa",BHL,1,1200,1116,84,0,57,27,0
115788,1870_1889,1879,The sea-shore,BHL,1,608,468,140,0,116,24,0
5484,1870_1889,1879,Development of Amblystoma punctatum,BHL,1,100,90,10,0,10,0,1
13411,1870_1889,1879,"The birds of Guernsey : and the neighboring islands Alderney, Sark, Jethou, Herm ; being a small contribution to the ornithology of the Channel Islands",BHL,1,503,493,10,0,7,3,1
14952,1870_1889,1879,A manual of palæontology for the use of students : with a general introduction on the principles of palæontology,BHL,1,1200,790,410,0,127,283,0
54095,1870_1889,1880,British animals extinct within historic times: with some account of British wild white cattle,BHL,1,513,492,21,0,20,1,1
16294,1870_1889,1880,An introduction to the study of fishes,BHL,2,2400,1904,496,0,187,309,0
55316,1870_1889,1880,"The wonders of the great deep, or, The physical, animal, geological, and vegetable curiosities of the ocean",BHL,1,545,439,106,19,84,3,0
55693,1870_1889,1880,The crayfish. An introduction to the study of zoology,BHL,1,480,357,123,1,61,61,0
56583,1870_1889,1880,"Siberia in Europe: a visit to the valley of the Petchora, in north-east Russia; with descriptions of the natural history, migration of birds, etc",BHL,1,939,923,16,0,16,0,1
56856,1870_1889,1880,British animals extinct within historic times: with some account of British wild white cattle,BHL,1,504,487,17,0,15,2,1
57153,1870_1889,1880,The refutation of Darwinism; and the converse theory of development; based exclusively upon Darwin's facts and comprising qualitative and quantitative analyses of the phenomena of variation; of revers,BHL,1,791,705,86,1,50,35,0
66905,1870_1889,1880,Manual of cattle-feeding. A treatise on the laws of animal nutrition and the chemistry of feeding stuffs in their application to the feeding of animals. With illustrations and an appendix of useful ta,BHL,1,786,649,137,0,131,6,0
1697,1870_1889,1880,Zoology for high schools and colleges,BHL,1,1200,768,432,0,188,244,0
3756,1870_1889,1880,A treatise on comparative embryology,BHL,2,2400,1926,474,0,119,355,0
100813,1870_1889,1880,British animals extinct within historic times : with some account of British wild white cattle,BHL,1,515,501,14,0,13,1,1
107488,1870_1889,1880,"The origin of species by means of natural selection, or, The preservation of favoured races in the struggle for life",BHL,1,1200,969,231,0,183,48,0
114909,1870_1889,1880,Ponds and ditches,BHL,1,451,355,96,2,68,26,0
143338,1870_1889,1880,An introduction to the study of fishes,BHL,1,1200,918,282,0,113,169,0
197833,1870_1889,1880,Zoological exercises for students in New Zealand,BHL,1,407,327,80,0,14,66,0
13619,1870_1889,1880,Friends worth knowing : glimpses of American natural history,BHL,1,461,390,71,0,71,0,0
13974,1870_1889,1880,Corals and bryozoa of the neozoic period in New Zealand,BHL,1,194,185,9,0,0,9,1
14205,1870_1889,1880,Contributions to the ornithology of Siberia,BHL,1,427,427,0,0,0,0,1
14469,1870_1889,1880,Rural bird life : being essays on ornithology with instructions for preserving objects relating to that science,BHL,1,1008,811,197,4,192,1,0
14756,1870_1889,1880,"Natural history of British fishes; their structure, economic uses and capture by net and rod, cultivation of fish-ponds, fish suited for acclimatisation, artificial breeding of salmon",BHL,1,1200,1069,131,6,111,14,0
3956,1870_1889,1880,"The history of creation, or, The development of the earth and its inhabitants by the action of natural causes : a popular exposition of the doctrine of evolution in general, and of that of Darwin, Goe",BHL,1,947,665,282,1,60,221,0
45844,1870_1889,1880,"The Crayfish : an introduction to the study of Zoology, &c",BHL,1,463,342,121,1,54,66,0
46855,1870_1889,1881,"Trichinae (pork worms, or flesh worms) : how to detect them and how to avoid them : being a popular account of their habits, modes of propagation, and means of dissemination, intended for the use of f",BHL,1,56,43,13,0,12,1,1
48970,1870_1889,1881,"Evolution, expression, and sensation, cell life and pathology / y John Cleland",BHL,1,102,74,28,1,14,13,1
11793,1870_1889,1881,"A handbook of the vertebrate fauna of Yorkshire : being a catalogue of British mammals, birds, reptiles, amphibians, and fishes",BHL,1,646,639,7,0,6,1,1
55012,1870_1889,1881,The seals and whales of the British seas,BHL,2,660,608,52,0,40,12,0
55783,1870_1889,1881,"The antelope and deer of America : a comprehensive treatise upon the natural history, including the characteristics, habits, affinities, and capacity for domestication of the Antilocapra and Cervidae ",BHL,1,1200,1087,113,1,96,16,0
14318,1870_1889,1881,The natural history of the cranes,BHL,2,1158,1109,49,0,38,11,0
56605,1870_1889,1881,Animal life as affected by the natural conditions of existence,BHL,2,2400,1826,574,0,483,91,0
12092,1870_1889,1881,A handbook of vertebrate dissection,BHL,1,172,154,18,0,3,15,1
86010,1870_1889,1881,The principles of myodynamics,BHL,1,84,68,16,0,16,0,1
1726,1870_1889,1881,The anatomy of the mouth-parts and of the sucking apparatus of some Diptera,BHL,1,112,67,45,0,29,16,0
106966,1870_1889,1881,"A manual of injurious insects : with methods of prevention and remedy for their attacks to food crops, forest trees, and fruit : and with short introduction to entomology",BHL,1,818,726,92,0,71,21,0
109828,1870_1889,1881,"Studies on Apus, Limulus and Scorpio",BHL,1,253,182,71,0,37,34,0
13643,1870_1889,1881,"The ornithological works of Arthur, ninth Marquis of Tweeddale",BHL,1,1200,1180,20,0,4,16,1
14180,1870_1889,1881,New England bird life: being a manual of New England ornithology,BHL,2,2400,2302,98,0,61,37,0
16121,1870_1889,1881,"The littoral marine fauna of Provincetown, Cape Cod, Massachusetts",BHL,1,55,55,0,0,0,0,1
38093,1870_1889,1881,The seal-islands of Alaska,BHL,1,1200,1129,71,0,63,8,0
10347,1870_1889,1882,Structural and systematic conchology: an introduction to the study of the Mollusca...,BHL,1,1200,936,264,0,71,193,0
53770,1870_1889,1882,The island of Nantucket : what it was and what it is : being a complete index and guide to this noted resort : containing descriptions of everything on or about the island in regard to which the visit,BHL,1,254,248,6,0,6,0,1
57055,1870_1889,1882,"The naturalist's assistant; a hand-book for the collector and student, with bibliography of fifteen hundred works necessary for the systematic zoölogist",BHL,2,1270,1243,27,0,22,5,1
11330,1870_1889,1882,"Anatomical technology as applied to the domestic cat; an introduction to human, veterinary, and comparative anatomy",BHL,1,1200,1110,90,0,38,52,0
1104,1870_1889,1882,Synopsis of the classification of the animal kingdom,BHL,1,296,276,20,0,4,16,1
100003,1870_1889,1882,"Animal plagues their history, nature, and prevention",BHL,1,1200,1181,19,0,14,5,1
2010,1870_1889,1882,Lucifer : a study in morphology,BHL,1,334,295,39,0,13,26,0
106815,1870_1889,1882,"The horse in motion : as shown by instantaneous photography, with a study on animal mechanics founded on anatomy and the revelations of the camera, in which is demonstrated the theory of quadrupedal l",BHL,1,475,328,147,6,137,4,0
107131,1870_1889,1882,"The descent of man, and selection in relation to sex",BHL,1,1200,1040,160,0,134,26,0
111603,1870_1889,1882,"Animal plagues : their history, nature and prevention : vol 2",BHL,1,1200,1186,14,0,10,4,1
15858,1870_1889,1882,"Selections from embryological monographs / comp. by Alexander Agassiz, Walter Faxon, and E.L. Mark ...",BHL,1,212,177,35,0,19,16,0
163714,1870_1889,1882,"A lecture on effects of weather on insects, delivered at the Royal agricultural college, Cirencester",BHL,1,53,46,7,0,7,0,1
14252,1870_1889,1882,The doctrine of descent and Darwinism,BHL,1,728,580,148,6,51,91,0
14892,1870_1889,1882,Forster's Animals of Hudson's Bay,BHL,1,129,123,6,0,6,0,1
46703,1870_1889,1882,A monograph of the seal-islands of Alaska,BHL,1,1200,1131,69,0,63,6,0
16128,1870_1889,1882,Lists of the dredging stations of the United States Fish Commission from 1871-1879 inclusive : with temperature and other observations,BHL,1,125,125,0,0,0,0,1
52386,1870_1889,1883,Contributions to the micro-palæontology of the Cambro-Silurian rocks of Canada,BHL,1,301,285,16,0,1,15,1
53973,1870_1889,1883,"The sportsman's gazetteer and general guide. The game animals, birds and fishes of North America: their habits and various methods of capture. Copious instructions in shooting, fishing, taxidermy, woo",BHL,1,1200,1125,75,0,72,3,0
55164,1870_1889,1883,New England bird life; being a manual of New England ornithology: rev.and ed. from the manuscript of Winfrid A. Stearns,BHL,1,1200,1139,61,1,39,21,0
55416,1870_1889,1883,"Illustrated natural history : comprising descriptions of animals, birds, fishes, reptiles, insects, etc., with sketches of their peculiar habits and characteristics",BHL,1,1200,819,381,9,336,36,0
57068,1870_1889,1883,Natural history. For the use of schools and families,BHL,1,1200,785,415,4,331,80,0
58954,1870_1889,1883,A review of the non-marine fossil mollusca of North America,BHL,1,344,337,7,0,0,7,1
61420,1870_1889,1883,"Morphology of the vertebrata. Dog-fish, cod, pigeon, and rabbit [with development of the dog-fish]",BHL,1,123,90,33,0,16,17,0
1046,1870_1889,1883,Animal intelligence,BHL,1,1200,1021,179,2,166,11,0
95424,1870_1889,1883,Essays on the conario-hypophysial tract and on the aspects of the body in vertebrate and invertebrate animals,BHL,1,90,61,29,0,4,25,1
101985,1870_1889,1883,Sea monsters unmasked,BHL,1,261,239,22,1,19,2,1
107534,1870_1889,1883,The elements of embryology,BHL,1,600,516,84,0,23,61,0
115988,1870_1889,1883,"On the inervation of the heart, with especial reference to the heart of the tortoise",BHL,1,179,161,18,0,7,11,1
136491,1870_1889,1883,Description of new or little known spiders of the family Attidae : from various parts of the United States of North America,BHL,1,29,29,0,0,0,0,1
157775,1870_1889,1883,The insect,BHL,1,879,741,138,3,120,15,0
13590,1870_1889,1883,Barton's Fragments of the natural history of Pennsylvania,BHL,1,293,285,8,0,8,0,1
13866,1870_1889,1883,The fossils and palæontological affinities of the Neocomian deposits of Upware and Brickhill (Cambridgeshire and Bedfordshire) : being the Sedgwick prize essay for the year 1879,BHL,1,465,438,27,0,0,27,1
42229,1870_1889,1883,A few facts about zoology,BHL,1,41,23,18,0,7,11,1
46835,1870_1889,1884,The evolution of the pearly Nautilus / by S. R. Pattison,BHL,1,58,50,8,0,1,7,1
54380,1870_1889,1884,Country cousins; short studies in the natural history of the United States,BHL,1,929,813,116,2,108,6,0
55748,1870_1889,1884,Text-book of zoology for schools and colleges,BHL,2,2400,1293,1107,0,566,541,0
56013,1870_1889,1884,Comparative anatomy of the vegetative organs of the phanerogams and ferns,BHL,1,1088,1022,66,0,20,46,0
56292,1870_1889,1884,Darwinism stated by Darwin himself. Characteristic passages from the writings of Charles Darwin,BHL,1,749,614,135,2,100,33,0
57275,1870_1889,1884,"The vertebrate zoology of Sind. A systematic account, with descriptions of all the known species of mammals, birds, and reptiles inhabiting the province ...",BHL,1,1200,1168,32,0,14,18,0
57521,1870_1889,1884,The popular natural history,BHL,1,1200,831,369,0,328,41,0
1194,1870_1889,1884,"The mammals of the Adirondack region, northeastern New York : with an introductory chapter treating of the location and boundaries of the region, its geological history, topography, climate, general f",BHL,1,1087,1014,73,0,71,2,0
1323,1870_1889,1884,Elementary text-book of zoology,BHL,2,2400,1506,894,1,441,452,0
100814,1870_1889,1884,Scientific papers and addresses,BHL,2,2400,2247,153,0,100,53,0
104060,1870_1889,1884,"A re-statement of the cell theory : with applications to the morphology, classification, and physiology of protists, plants, and animals : together with an hypothesis of cell-structure, and an hypothe",BHL,1,60,49,11,0,1,10,1
105381,1870_1889,1884,Scientific papers and addresses,BHL,1,1200,1106,94,0,79,15,0
105638,1870_1889,1884,Scientific papers and addresses,BHL,1,1200,1125,75,0,31,44,0
119051,1870_1889,1884,On the compound vision and the morphology of the eye in insects,BHL,1,352,296,56,0,14,42,0
11879,1870_1889,1884,On the Silurian Gastropoda and Pteropoda of Gotland,BHL,1,1088,1009,79,0,1,78,0
13594,1870_1889,1884,Ornithology,BHL,1,539,507,32,0,10,22,0
14754,1870_1889,1884,On the structure of the brain of the sessile-eyed Crustacea,BHL,1,27,23,4,0,2,2,1
15089,1870_1889,1884,Natural history of the Mammalia of India and Ceylon,BHL,1,1200,1060,140,4,73,63,0
49480,1870_1889,1885,Our living world; an artistic edition of the Rev. J. G. Wood's Natural history of animate creation,BHL,3,3600,2821,779,1,597,181,0
52151,1870_1889,1885,Kentucky fossil corals : a monograph of the fossil corals of the Silurian and Devonian rocks of Kentucky,BHL,1,32,32,0,0,0,0,1
52401,1870_1889,1885,Kentucky fossil corals : a monograph of the fossil corals of the Silurian and Devonian rocks of Kentucky,BHL,1,39,39,0,0,0,0,1
53893,1870_1889,1885,Text-book of zoology for junior students,BHL,1,1200,627,573,0,279,294,0
55125,1870_1889,1885,"The animal food resources of different nations, with mention of some of the special dainties of various people derived from the animal kingdom",BHL,1,1200,1147,53,2,51,0,0
55473,1870_1889,1885,Contributions to Canadian palæontology,BHL,4,2827,2744,83,0,2,81,0
56195,1870_1889,1885,The farmer's veterinary adviser : a guide to the prevention and treatment of disease in domestic animals,BHL,1,1200,1143,57,0,54,3,0
56603,1870_1889,1885,Wild life in Canara and Ganjam,BHL,1,197,190,7,0,7,0,1
57094,1870_1889,1885,Kentucky fossil corals; a monograph of the fossil corals of the Silurian and Devonian rocks of Kentucky,BHL,1,28,28,0,0,0,0,1
57496,1870_1889,1885,"Natural history sketches among the carnivora, wild and domesticated, with observations on their habits and mental faculties",BHL,1,935,847,88,2,81,5,0
66994,1870_1889,1885,Brachiopoda and Lamellibranchiata of the Raritan clays and greensand  marls of New Jersey,BHL,1,1120,1069,51,0,3,48,0
996,1870_1889,1885,An introduction to the osteology of the mammalia,BHL,1,954,791,163,0,55,108,0
1003,1870_1889,1885,Comparative anatomy and physiology,BHL,1,911,430,481,0,333,148,0
12300,1870_1889,1885,The standard natural history,BHL,3,3600,2732,868,0,583,285,0
1811,1870_1889,1885,The works of Francis Maitland Balfour ...,BHL,4,3727,3087,640,0,153,487,0
1815,1870_1889,1885,A treatise on comparative embryology,BHL,1,1200,975,225,0,61,164,0
96198,1870_1889,1885,"Visitors' guide to the collection of mammals in the American Museum of Natural History, (Central Park, Manhattan Square,) 77th Street and 8th Avenue, New York",BHL,1,198,153,45,0,25,20,0
101101,1870_1889,1885,The wanderings of plants and animals from their first home,BHL,1,1049,982,67,0,66,1,0
101407,1870_1889,1885,Elementary text-book of zoology,BHL,1,1200,737,463,0,237,226,0
101537,1870_1889,1885,An introduction to the osteology of the Mammalia,BHL,1,971,812,159,0,53,106,0
105639,1870_1889,1885,Natural history of Victoria : prodromus of the zoology of Victoria; or figures and descriptions of the living species of all classes of the Victorian indigenous animals,BHL,1,1200,1099,101,0,15,86,0
106841,1870_1889,1885,Natural history of Victoria : prodromus of the zoology of Victoria; or figures and descriptions of the living species of all classes of the Victorian indigenous animals,BHL,1,1200,1099,101,0,24,77,0
1241,1870_1889,1885,"Animate creation; popular edition of ""Our living world"" a natural history",BHL,3,3600,2834,766,4,636,126,0
5600,1870_1889,1885,"Guide to the collection of fossil fishes in the Department of Geology and Palæontology, British Museum (Natural History) ...",BHL,1,153,116,37,0,10,27,0
15162,1870_1889,1885,The ornithology of Illinois,BHL,4,4800,4641,159,0,53,106,0
54005,1870_1889,1886,Zoology for high schools and colleges,BHL,1,1200,731,469,2,205,262,0
54601,1870_1889,1886,"Anatomical technology as applied to the domestic cat; an introduction to human, veterinary, and comparative anatomy",BHL,1,1200,1118,82,0,33,49,0
55605,1870_1889,1886,Studies from the Morphological laboratory in the University of Cambridge. v.1-6,BHL,4,1748,1563,185,0,70,115,0
59819,1870_1889,1886,An elementary course in practical zoölogy,BHL,2,1107,966,141,0,82,59,0
56693,1870_1889,1886,The comparative anatomy of the domesticated animals,BHL,1,1200,954,246,0,139,107,0
56908,1870_1889,1886,Wild animals photographed and described,BHL,1,1200,1020,180,4,165,11,0
57187,1870_1889,1886,"The barn-yard: a manual of cattle, horse and sheep husbandry; or How to breed and rear the various species of domestic animals; with a chapter on bee-keeping",BHL,1,562,441,121,1,115,5,0
57709,1870_1889,1886,"Four feet, two feet, and no feet; or, Furry and feathery pets, and how they live",BHL,1,813,785,28,0,27,1,1
58569,1870_1889,1886,"A year in Brazil, with notes on the abolition of slavery, the finances of the empire, religion, meteorology, natural history, etc",BHL,1,706,684,22,0,19,3,1
57825,1870_1889,1886,Elements of zoology,BHL,1,1200,858,342,0,247,95,0
60182,1870_1889,1886,Monograph of the Mutillidae of North America,BHL,1,241,209,32,0,1,31,0
1006,1870_1889,1886,Elements of the comparative anatomy of vertebrates,BHL,1,982,661,321,0,137,184,0
1189,1870_1889,1886,The Mammalia in their relation to primeval times,BHL,1,612,461,151,1,81,69,0
1190,1870_1889,1886,The butterflies of the eastern United States. For the use of classes in zoology and private students,BHL,1,1200,1150,50,0,35,15,0
100761,1870_1889,1886,Elements of the comparative anatomy of vertebrates,BHL,1,947,615,332,0,142,190,0
163727,1870_1889,1886,Warbles in hides ...,BHL,1,118,90,28,0,26,2,1
213484,1870_1889,1886,Notes and jottings from animal life,BHL,1,1033,941,92,4,86,2,0
14755,1870_1889,1886,On the Carboniferous xiphosurous fauna of North America,BHL,1,51,40,11,0,3,8,1
